epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,132.289,0.55337,0.42842,0.88569,0.97656,0.97331,0.9903,0.82498,0.64895,0.45806,0.91859,0.000231213,0.000231213,0.000231213
89,133.732,0.58516,0.44332,0.93839,0.96507,0.97696,0.98692,0.82396,0.62275,0.44534,0.9102,0.00021471,0.00021471,0.00021471
90,135.172,0.55787,0.43954,0.90781,0.97369,0.97707,0.98544,0.82292,0.62524,0.44673,0.91101,0.000198206,0.000198206,0.000198206
91,136.973,0.65005,0.48517,0.92144,0.97281,0.97707,0.98525,0.82725,0.62506,0.43864,0.90988,0.000181703,0.000181703,0.000181703
92,138.613,0.58878,0.44957,0.89713,0.9748,0.97837,0.98721,0.83212,0.59109,0.43243,0.8979,0.0001652,0.0001652,0.0001652
93,140.141,0.61443,0.52085,0.8968,0.96732,0.97707,0.98442,0.83427,0.57863,0.43064,0.89239,0.000148696,0.000148696,0.000148696
94,141.657,0.58889,0.44187,0.9035,0.96055,0.97707,0.98654,0.83489,0.57669,0.4272,0.89044,0.000132193,0.000132193,0.000132193
95,143.177,0.59111,0.47962,0.91678,0.95743,0.97807,0.98832,0.83775,0.56674,0.42527,0.88626,0.00011569,0.00011569,0.00011569
96,144.696,0.56864,0.43593,0.87176,0.97329,0.97707,0.98855,0.84189,0.56799,0.42112,0.88775,9.91865e-05,9.91865e-05,9.91865e-05
97,146.211,0.57973,0.44604,0.88618,0.97306,0.98083,0.98857,0.84333,0.56219,0.42237,0.88608,8.26832e-05,8.26832e-05,8.26832e-05
98,147.719,0.58873,0.45725,0.90357,0.96755,0.98083,0.98792,0.84226,0.55688,0.41986,0.88413,6.61799e-05,6.61799e-05,6.61799e-05
99,149.164,0.5562,0.44002,0.87365,0.97119,0.98083,0.98793,0.84049,0.55073,0.4186,0.8815,4.96766e-05,4.96766e-05,4.96766e-05
100,150.703,0.55567,0.42682,0.87125,0.97567,0.98083,0.98841,0.84385,0.5471,0.41904,0.87994,3.31733e-05,3.31733e-05,3.31733e-05
1,1.80845,1.1364,3.89411,1.44105,0.39189,0.7004,0.54677,0.41937,1.04273,15.2262,1.18358,0.00013336,0.00013336,0.00013336
2,3.62074,0.95859,2.0838,1.14546,0.51381,0.61924,0.54243,0.36273,1.40343,8.91105,1.27596,0.000282829,0.000282829,0.000282829
3,5.04495,0.9014,1.32028,1.07776,0.53547,0.63801,0.59501,0.41747,1.34929,2.65546,1.33461,0.000431704,0.000431704,0.000431704
4,6.52531,0.86741,1.07301,1.06348,0.27707,0.64029,0.38984,0.23363,1.45611,7.66322,1.66176,0.000579984,0.000579984,0.000579984
5,7.94381,0.91309,0.97487,1.10877,0.19539,0.19384,0.14363,0.08475,1.75776,10.1048,1.96689,0.000727671,0.000727671,0.000727671
6,9.35167,0.98435,1.09995,1.13244,0.0043,0.18785,0.00245,0.00106,2.80644,inf,44.2568,0.000874763,0.000874763,0.000874763
7,10.7615,1.07125,1.16911,1.1876,0.11675,0.67037,0.11526,0.05442,1.47924,63.5616,1.69921,0.00102126,0.00102126,0.00102126
8,12.1873,1.02936,1.20717,1.13171,0.0184,0.49894,0.01245,0.0048,2.39136,inf,2.48063,0.00116717,0.00116717,0.00116717
